80.1743, 46.1869, 422.162, 298.324, 
89.7653, 67.3766, 269.129, 188.142, 
123.94, 104.698, 186.937, 167.349, 
82.7066, 119.809, 199.539, 215.552, 
332.733, 3.61463, 379.135, 51.5876, 
102.786, 64.0404, 140.068, 221.943, 
94.0705, 63.5922, 116.307, 115.255, 
463.282, 42.0837, 488.707, 69.8668, 
183.254, 137.367, 222.337, 208.993, 
147.081, 131.114, 185.206, 199.393, 
81.1455, 52.6175, 109.022, 97.5453, 
164.684, 79.4882, 217.546, 189.193, 
404.311, 18.2306, 490.55, 205.626, 
296.805, 14.7278, 415.917, 61.2074, 
228.345, 107.62, 276.794, 205.246, 
1.25015, 32.5876, 114.762, 249.48, 
387.937, 131.487, 495.026, 361.457, 
456.378, 66.6512, 490.093, 107.867, 
445.88, 42.3065, 473.943, 64.4031, 
135.705, 12.336, 450.875, 109.834, 
283.387, 31.5848, 347.334, 68.3094, 
136.469, 83.4053, 200.391, 132.593, 
188.716, 204.911, 499, 366.23, 
63.2017, 313.957, 499, 372.958, 
23.5686, 183.908, 240.501, 341.158, 
